iter	Passed	Remaining
310	8038	121198
311	8061	121126
312	8084	121064
313	8107	120997
314	8132	120954
315	8155	120884
316	8179	120836
317	8202	120768
318	8225	120699
319	8250	120670
320	8274	120618
321	8299	120574
322	8325	120545
323	8348	120487
324	8371	120420
325	8394	120358
326	8416	120277
327	8439	120216
328	8465	120182
329	8487	120115
330	8510	120047
331	8535	120007
332	8557	119927
333	8581	119882
334	8606	119846
335	8629	119780
336	8652	119725
337	8673	119631
338	8695	119558
339	8718	119498
340	8740	119419
341	8764	119368
342	8787	119306
343	8811	119267
344	8834	119205
345	8858	119159
346	8882	119112
347	8905	119049
348	8930	119013
349	8957	119005
350	8980	118947
351	9003	118892
352	9028	118858
353	9053	118820
354	9077	118775
355	9101	118728
356	9124	118665
357	9147	118605
358	9173	118597
359	9198	118557
360	9221	118497
361	9244	118447
362	9268	118402
363	9292	118355
364	9317	118313
365	9340	118258
366	9362	118198
367	9385	118137
368	9409	118095
369	9431	118026
370	9455	117976
371	9479	117929
372	9502	117874
373	9527	117850
374	9554	117842
375	9582	117843
376	9612	117876
377	9640	117877
378	9666	117855
379	9691	117828
380	9720	117844
381	9748	117847
382	9773	117822
383	9796	117761
384	9820	117715
385	9842	117647
386	9864	117589
387	9889	117558
388	9914	117516
389	9937	117463
390	9961	117421
391	9984	117363
392	10013	117388
393	10037	117343
394	10060	117291
395	10085	117255
396	10107	117194
397	10131	117142
398	10156	117116
399	10181	117089
400	10204	117028
401	10226	116967
