iter	Passed	Remaining
630	65089	89639
631	65207	89557
632	65330	89481
633	65430	89373
634	65549	89291
635	65668	89209
636	65774	89111
637	65898	89035
638	66075	89031
639	66192	88945
640	66315	88869
641	66450	88807
642	66570	88725
643	66711	88671
644	66898	88679
645	67009	88585
646	67146	88524
647	67254	88426
648	67378	88349
649	67517	88292
650	67657	88235
651	67772	88146
652	67903	88076
653	68010	87976
654	68140	87906
655	68265	87829
656	68429	87802
657	68567	87741
658	68698	87671
659	68831	87603
660	68971	87544
661	69108	87481
662	69244	87416
663	69386	87359
664	69510	87279
665	69628	87192
666	69772	87136
667	69899	87060
668	70034	86993
669	70151	86904
670	70275	86823
671	70396	86738
672	70533	86673
673	70653	86587
674	70802	86536
675	70948	86481
676	71093	86425
677	71216	86341
678	71351	86273
679	71483	86201
680	71593	86100
681	71721	86023
682	71850	85947
683	71955	85841
684	72137	85827
685	72237	85715
686	72354	85624
687	72484	85548
688	72612	85470
689	72743	85394
690	72885	85331
691	73011	85250
692	73116	85144
693	73251	85073
694	73396	85013
695	73527	84937
696	73661	84863
697	73791	84786
698	73914	84699
699	74035	84612
700	74168	84537
701	74320	84483
702	74449	84404
703	74599	84348
704	74747	84289
705	74862	84193
706	75008	84132
707	75153	84069
708	75299	84007
709	75451	83953
710	75572	83862
711	75712	83794
712	75827	83697
713	75941	83599
714	76090	83540
715	76224	83464
716	76367	83396
717	76514	83335
718	76654	83264
719	76777	83175
720	76906	83093
721	77035	83010
722	77157	82920
723	77304	82857
724	77498	82843
725	77580	82709
726	77665	82579
727	77825	82529
728	77988	82481
729	78140	82422
730	78269	82338
731	78421	82277
732	78573	82217
733	78705	82136
734	78831	82048
735	78967	81971
736	79122	81913
737	79272	81850
738	79414	81778
739	79576	81727
740	79733	81670
741	79883	81606
742	80035	81543
743	80178	81471
744	80305	81383
745	80473	81336
746	80599	81246
747	80738	81170
748	80891	81107
749	81034	81034
750	81189	80973
751	81348	80916
752	81491	80842
753	81630	80764
754	81780	80697
755	81937	80636
756	82078	80560
757	82247	80511
758	82376	80423
759	82532	80360
760	82772	80380
761	82876	80266
762	82972	80145
763	83093	80048
764	83241	79977
765	83393	79909
766	83532	79829
767	83667	79745
768	83823	79681
769	83951	79590
770	84082	79501
771	84229	79428
772	84364	79344
773	84518	79277
774	84692	79228
775	84830	79145
776	84960	79055
777	85105	78979
778	85247	78900
779	85365	78799
780	85489	78702
781	85629	78621
782	85791	78560
783	85914	78462
784	86054	78381
785	86216	78319
786	86357	78237
787	86506	78163
788	86638	78073
789	86764	77977
790	86895	77887
791	87021	77792
792	87184	77729
793	87344	77664
794	87520	77612
795	87651	77520
796	87796	77441
797	87930	77352
798	88117	77309
799	88231	77202
800	88344	77094
801	88480	77006
802	88578	76885
803	88731	76812
804	88844	76704
805	89008	76640
806	89150	76556
807	89303	76482
808	89470	76420
809	89643	76362
810	89795	76287
811	89942	76207
812	90101	76137
813	90238	76048
814	90400	75980
815	90541	75894
816	90704	75827
817	90846	75742
818	90983	75653
819	91141	75580
820	91287	75498
821	91436	75418
822	91581	75335
823	91722	75247
824	91838	75140
825	91971	75046
826	92111	74958
827	92237	74859
828	92384	74777
829	92533	74695
830	92678	74611
831	92811	74517
832	92963	74437
833	93105	74350
834	93299	74304
835	93472	74241
836	93566	74115
837	93684	74008
838	93827	73921
839	93982	73843
840	94124	73754
841	94271	73670
842	94424	73590
843	94582	73514
844	94726	73427
845	94860	73331
846	95003	73243
847	95149	73157
848	95276	73056
849	95422	72970
850	95572	72886
851	95711	72794
852	95862	72711
853	96015	72629
854	96154	72537
855	96296	72447
856	96437	72356
857	96571	72259
858	96724	72177
859	96873	72092
860	97023	72006
861	97160	71912
862	97275	71801
863	97420	71712
864	97556	71616
865	97684	71515
866	97814	71414
867	97935	71307
868	98065	71207
869	98185	71100
870	98327	71008
871	98454	70905
872	98611	70823
873	98761	70737
874	98869	70620
875	98964	70494
876	99097	70396
877	99227	70295
878	99382	70212
879	99528	70122
880	99662	70024
881	99798	69926
882	99921	69820
883	100041	69712
884	100192	69625
885	100326	69526
886	100445	69417
887	100584	69322
888	100738	69236
889	100887	69147
890	101038	69059
891	101187	68970
892	101345	68887
893	101504	68804
894	101655	68716
895	101794	68620
896	101937	68526
897	102102	68447
898	102257	68361
899	102416	68277
900	102569	68189
901	102727	68105
902	102875	68014
903	103031	67927
904	103182	67838
905	103322	67741
906	103481	67656
907	103602	67546
908	103758	67459
909	103888	67356
910	104034	67262
911	104150	67149
912	104274	67041
913	104413	66943
914	104550	66843
915	104703	66754
916	104830	66648
917	104983	66558
918	105142	66472
919	105276	66369
920	105456	66296
921	105620	66213
922	105776	66124
923	105905	66018
924	106057	65927
925	106199	65829
926	106354	65740
927	106493	65640
928	106622	65534
929	106752	65428
930	106884	65324
931	107008	65215
932	107158	65122
933	107308	65028
934	107458	64934
935	107610	64842
936	107751	64742
937	107906	64651
938	108042	64549
939	108167	64440
940	108322	64348
941	108481	64259
942	108635	64167
943	108779	64069
944	108933	63977
945	109070	63874
946	109209	63772
947	109381	63690
948	109485	63568
949	109579	63441
950	109732	63347
951	109882	63251
952	110038	63159
953	110190	63065
954	110331	62963
955	110492	62874
956	110640	62777
957	110803	62688
958	110954	62592
959	111102	62494
960	111240	62392
961	111387	62293
962	111527	62191
963	111664	62087
964	111829	61998
965	111977	61900
966	112122	61800
967	112254	61693
968	112369	61577
969	112536	61488
970	112693	61395
971	112834	61292
972	112948	61175
973	113116	61087
974	113246	60978
975	113415	60890
976	113577	60799
977	113729	60702
978	113900	60615
979	114051	60517
980	114193	60414
981	114336	60312
982	114466	60202
983	114639	60115
984	114729	59985
985	114829	59860
986	114923	59732
987	115060	59626
988	115181	59512
989	115295	59394
990	115441	59293
991	115570	59183
992	115680	59063
993	115839	58968
994	115994	58871
995	116133	58766
996	116286	58668
997	116440	58570
998	116595	58472
999	116739	58369
1000	116878	58264
1001	117028	58163
1002	117176	58062
1003	117324	57960
1004	117483	57865
1005	117632	57763
1006	117770	57657
1007	117911	57551
1008	118046	57444
1009	118207	57347
1010	118356	57246
1011	118504	57144
1012	118644	57038
1013	118785	56932
1014	118916	56822
1015	119061	56718
1016	119227	56624
1017	119371	56519
1018	119524	56419
1019	119669	56315
1020	119809	56208
1021	120021	56135
1022	120144	56020
1023	120272	55907
1024	120404	55797
1025	120556	55695
1026	120706	55593
1027	120867	55495
1028	121007	55388
1029	121146	55280
1030	121302	55180
1031	121436	55070
1032	121578	54963
1033	121710	54852
1034	121849	54743
1035	121984	54634
1036	122130	54528
1037	122280	54425
1038	122436	54324
1039	122539	54199
1040	122638	54074
1041	122754	53955
1042	122933	53864
1043	123079	53758
